BOOTH,NAMA KARYA,Deskripsi Singkat,Benefit,Expert yang Terlibat
ADM,Auto Measuring System,"Auto Measuring System adalah teknologi inspeksi otomatis yang dirancang untuk memastikan akurasi dimensi bodi kendaraan (BIW – Body in White). Dengan menggunakan kamera visi berpresisi tinggi, sistem ini mengukur titik-titik referensi utama pada bodi secara otomatis tanpa kontak manual.","Akurasi pengukuran yang tinggi
Kontrol kualitas secara real-time
Kualitas yang konsisten
","- Andi Hartadi
- M. Zakky"
AOP,Digital Column Scale With Digital Height Measurement,"Column Scale with Digital Height Measurement is an advanced medical device designed for clinics, hospitals, and personal health tracking. Featuring high-precision weight and height sensors, it provides accurate body measurements while seamlessly syncing data with health applications via Bluetooth. ","500 Mio per annum
Customer IDS Medical
","- Ade Anto 
- Syahfiro
- Shofiyullah"
AOP,Body Composition Analyzer,"High accuracy, ergonomic design, and modern appearance. Equipped with a 10” color LCD display, flexible hand and foot impedance sensors, and an anti-slip foot platform for stable and precise measurements. Easy to move with built-in wheels, featuring adjustable height and ergonomic screen tilt for maximum comfort for both users and operators.","500 Mio per annum
Customer IDS Medical
","- Ade Anto 
- Syahfiro
- Shofiyullah"
AOP,UltiX – Hi Performance Brake System,"Sistem Rem Performa Tinggi untuk Sepeda Motor, digunakan pada ajang balap motor tingkat Nasional dan Asia. Dirancang bagi mereka yang menuntut performa maksimal di setiap perjalanan.","Inisiatif ini mendorong peningkatan pendapatan, memperkuat citra merek Akebono, serta meningkatkan kapabilitas karyawan dalam pengembangan produk, sehingga mendukung pertumbuhan bisnis yang berkelanjutan.","- Jakfar Syadiq 
- Ruddiwan Saleh 
- Annisa Nurhasanah
"
AOP,"ALTRO Ev Charging Station 
Pole Mounted AC 7kW","Varian baru Electric Vehicle Charging Station (EVCS) AC 7 kW, dipasang di dalam tiang listrik sesuai dengan persyaratan PLN. Dirancang untuk mendukung ekosistem kendaraan listrik (EV) di Indonesia dengan efisiensi ruang dan ketahanan terhadap lingkungan.","Portofolio bisnis ini memiliki potensi penjualan sebesar 17,5 miliar rupiah per tahun.","- Hendrick  
- Zai 
- Anwar 
- Aghda 
- Rizal 
- Novan"
AOP,USG 4D,"Memvisualisasikan organ internal secara real time, membantu dalam diagnosis, pemantauan kehamilan, dan mendeteksi kelainan medis tanpa perlu operasi.","Potensi penjualan sebesar 11,2 miliar rupiah per tahun.","- Arifin 
- Riwi 
- Dimas
- Singgih
- Syahfiro H S 

"
AOP,BPM + 3 IN 1 GCU MONITORING SYSTEM,"BPM+3in1 adalah perangkat kesehatan digital multifungsi yang menggabungkan empat pengukuran vital dalam satu alat: tekanan darah, gula darah, kolesterol, dan asam urat.",Meningkatkan pendapatan dari perakitan kaca spion.,"- Syahfiro 
- Abram Ali S 
- Deni Fajar 
- Shofiyyullah "
AOP,[AOP Group – PAMA] Localization Spare Parts Mining Product Development within Astra Business Collaboration Program,"Komponen impor dilokalisasi melalui reverse engineering, penyempurnaan spesifikasi, dan peningkatan kualitas. Proses validasi dipercepat melalui pengujian skala laboratorium, sehingga mengurangi kebutuhan uji coba di lokasi yang berbiaya tinggi.","Q: Menggantikan produk existing/impor dengan masa pakai 365% lebih lama
C: Biaya per produk meningkat, tetapi memberikan penghematan biaya 61% per jam dibandingkan produk existing
D: Pengiriman lebih cepat 2 bulan","- Ivan
- Najib 
- Frans
- Dimas
- Fadli
- Fauzul
"
AOP,AOP Smart Manufacturing,"Sebuah sistem yang dibangun untuk mengelola, mengumpulkan, dan melacak data produksi, serta menyediakan informasi status line/mesin secara real-time.","Mendorong produktivitas dan visibilitas real-time di area produksi, serta membangun kolaborasi internal dan rantai nilai di dalam Astra Otoparts Group.","- Wahyu Hidayat Santoso
- Andri Irawan
- Cahya Kusuma Ardhi
"
AOP,KYB - OCU Sub-Tank New Feature,OCU Sub Tank dengan Fitur Baru untuk penggunaan harian dan dapat disesuaikan (stabilitas dan kenyamanan tinggi).,"Meningkatkan kapabilitas desain.
Meningkatkan jumlah penjualan.",-M Safii PDE-2W Dept & Team
AHM,Flexible Manufacturing Way – Digital Operation (Digitalization Kit),"Seperangkat pengumpul data (data capturing kit) yang digunakan untuk mensimulasikan bagaimana Digital Operation bekerja di AHM menggunakan:
•Loads Simulation
•Protocol & Data Pooling
•Data Capture & Visualization",•Pengembangan Kompetensi,"•Morris Lizar
•Setiawan Romadhan
•Muhammad Idham"
AHM,Cost Leadership Way – Simplify Design and Production Optimization (Vertical Lifter Construction for Plastic Mold),Pengurangan waktu manufaktur dan dimensi material yang digunakan untuk base mold dengan menggunakan tata letak sistem undercut yang dioptimalkan serta komponen-komponennya.,"•Mengurangi biaya material
•Mengurangi biaya process","•Budi Hargo Widagdo
•Gregorius Bono Driyantoro
•Dewa Made Adnya"
AHM,Technology Transition – Virtual Testing (Virtual Testing Video),Penerapan simulasi digital yang akurat dan tervalidasi yang secara dekat mereplikasi kondisi pengujian nyata untuk memprediksi kinerja komponen atau produk sebelum pengujian sebenarnya dilakukan.,"•Mengurangi kegagalan pengujian produk dan siklus uji ulang.
•Mengurangi jam kerja (man-hour) untuk uji ulang.
•Mengurangi biaya untuk desain ulang dan pembuatan ulang.
•Mengurangi penggunaan energi untuk uji ulang.","•Ari Prahadi K
•Arnold Indra G
•Daris Ibnu F
•Eko Budi S
•Firdaus Jafar
•Wahid Marditama"
AHM,"Cost Leadership Way - Part Innovation (New Wheel Design)
",Merancang Wheel baru melalui kolaborasi Astra (AHM & PAKO) untuk mencapai keunggulan biaya. Desain wheel baru ini mampu mengurangi biaya material dan berkontribusi pada daya saing biaya AHM.,"•Mengurangi biaya parts
","•Tatang Rukmana
•Dariyanto
•Antonio Frian
"
IAMI,"NMR Hi-Gear
","Pengembangan varian baru untuk kelas light truck 6T, untuk capture bigger market. (Prototype Phase)","Memenuhi segmentasi pasar baru → Berpotensi meningkatkan pangsa pasar
Memperoleh informasi pasar yang aktual.
","-Yahya Tata Imansyah
"
AIMI,"HVAC P700
","Inisiasi perubahan spesifikasi HVAC untuk model baru Isuzu (P700).
","Menyederhanakan desain → Mengurangi biaya material dan investasi
Meningkatkan kapabilitas engineering terkait evaluasi dan analisis HVAC.
","-Dio Yoshitaka Anggarda
"
AIMI,"Localization
","Lokalisasi dan upaya mencari desain yang optimal (VAVE) dengan menyeragamkan desain lokal (Parts/Dies/Mold).
","Menyederhanakan dan menyeragamkan desain → Mengurangi investasi dan menghasilkan penghematan biaya.
Meningkatkan kandungan lokal dan mendukung rantai nilai Astra.
","-Danang Prabowo
"
AIMI,"Traga Modification Guidance
","Perbaikan untuk memenuhi kebutuhan unik pasar Indonesia pada segmen pick-up menengah, khususnya di daerah pedesaan.
","Menyediakan panduan modifikasi yang telah terbukti melalui penggunaan pelanggan.
Berpotensi meningkatkan citra merek perusahaan di mata pelanggan.
","-Reynald Sapoetra
"
AIMI,"IADG Improvement
","Peningkatan kualitas sekaligus menjaga daya saing suku cadang merek kedua.
","Meningkatkan kualitas suku cadang yang ada saat ini
Menjaga tingkat daya saing
","-Grangsang Sotyaramadhani
"
AIMI,"Auto-Lubrication System
","Sistem lubrikasi otomatis pada system pengereman (unit tipe Giga)
","Sistem otomatis memastikan  greasing dapat dilakukan dengan benar dan tepat waktu 
Parts yang berkaitan dengan system pengereman akan lebih awet/tidak mudah rusak
Hemat grease lebih dari 70%
","-Sigit Riyanto
"
PAMA,"TyreXpert Maintenance System 
","Sebuah improvement yang terintegrasi dalam hal proses maintenance tyre unit tambang. Improvement ini dimulai dari :
Prabu (Pressure Accuracy Bluetooth) yang terhubung dengan big data berbasis Tablue untuk analisa dan pelaporan kondisi tyre.
Siklus maintenance tyre : dalam proses retread, top tread, add tread, dan regroove, semua difokuskan pada optimalisasi umur pakai dan efisiensi fleet alat berat.
","Data pengecekan kondisi tyre lebih presisi, valid, serta dapat mendorong langkah efisiensi dan menjaga keselamatan.
Regroove : Meningkatkan TUR tyre
Retread : Memaksimalkan umur casing tyre dengan cost 40% dari ban baru dan limbah karet 200kg/ban
Top tread : Memaksimalkan umur casing tyre dengan cost 25% dari ban baru dan limbah karet 80kg/ban
Add tread : Memaksimalkan umur casing tyre dengan cost 10% dari ban baru dan limbah karet 10kg/ban
Efisiensi fuel consumption dengan meningkatnya traksi tyre mengurangi potensi terjadinya spinning karena kehilangan fungsi traksi tyre yg sudah aus. 
Sejalan dengan program ESG, mengurangi limbah ban karet
","-Novo Hermawan Rahdian
-Rimin Saputra
-Agus Saikhu M
-Fitro Utomo
-Nugroho Agus Prasetyo
-M. Mahpudz S. N.
-Daryanto
-Irwan Susanto
-Eko Sofianto
-Ahmad Andik Hidayat
-Deni Kurnia
-Agus Prasetyadi
-Agung Fahrudin Irawan
-Wisnu Wardana
"
PAMA,"AUTOSPRAY BY GPS
","AutoSpray by GPS merupakan inovasi sistem penyemprotan otomatis berbasis GPS Automatic Control Module yang mampu menyesuaikan tekanan secara cerdas melalui rekayasa step-up dan step-down untuk mengatur output pressure pada pompa Vicker. Dilengkapi fitur konfigurasi kecepatan dinamis, sistem ini memastikan penyemprotan lebih efisien, presisi, dan optimal sesuai kondisi operasional di lapangan.
","Efisiensi Operational : Mengurangi konsumsi bahan bakar dan juga air melalui mekanisme automatic sprayer yang optimal 
Akurasi penyiraman : konfigurasi dengan jarak standard penyiraman dan GPS membantu menjaga jarak penyiraman sesuai standard 
Safety operator : mengurangi distraction focus pada  operator pada saat mengoperasikan unit  dengan system automatic sprayernya 
Reduce cost maintenance : menjaga lifetime komponen attachment menjadi lebih tahan lama dengan rekayasa pressure constant pada pompa vicker 
","-Ahmad Dinka
-Widaryanto
-Alfian Rahman
-Vebryan Eka

"
PAMA,"Realtime Operator Guidance (ROG) using Adaptive Machine Learning
","Realtime Operator Guidance (ROG) merupakan sistem yang dibangun menggunakan pendekatan adaptive machine learning yang bertujuan untuk mengoptimalkan efisiensi operasional armada dumptruck di area pertambangan melalui pendekatan berbasis kecerdasan buatan. 

Melalui algoritma adaptive learning, model mampu menyesuaikan parameter prediksi secara dinamis terhadap perubahan lingkungan dan pola berkendara operator. 

Sistem dapat memberikan rekomendasi operasional secara langsung untuk mendukung pengambilan keputusan di level operator, meningkatkan produktivitas, serta menurunkan risiko kesalahan manusia.
","Average Fuel Saving per month: 207,200 liter/bulan

Average Dumptruck Productivity Increase : 6% 
","-Sukrisno
-Ikhsan Maulana
-Muthia Sukma
"
PAMA ,"TOOL D-GMC
","Tool yang menangkap parameter pressure secara digital secara portable yang bisa dipasang di checkport tertentu yang mempermudah mekanik dalam melakukan GMC yang sebelumnya ditulis manual menjadi otomatis output data dalam format excell​
","Dengan berat tool menjadi 11 kg maka dapat mengurangi kemungkinan cedera LBP pada saat pengangkatan
Dengan GMC didalam kabin maka kemungkinan adanya insiden jatuhnya mekanik saat unit bergerak akan berkurang dan secara matrix resiko menjadi RENDAH
Mengurangi jumlah mekanik untuk aktifitas GMC sebanyak 60%
Dengan D-GMC maka miss komunikasi antara opertor dengan eksekutor GMC menjadi lebih kecil
Dengan D-GMC proses reporting data GMC menjadi lebih cepat karena mereduce pencatatan data sebanyak 242 menjadi otomatis dan secara leadtime GMC dapat mereduce watu GMC sebesar 
83% 
Reduce Fuel akibat GMC lebih cepat mencapai 10.725 liter Pertahun
Potensial benefit Improvement NQI sebesar Rp 3.354.014.370 
","-Made Arya Dharmawan
-Agus Sugihartono
-Nanang Dwi Prasetyo
-Mohamad Iswaji
-Tofik Junirianto
"
PAMA,"Perforated Pipe in Soft Soil Area
","Mitigasi Longsor pada Area Tanah Lunak Menggunakan Perforated Pipe         
","Mengurangi potensi insiden dan risiko geoteknik di area Disposal Rawa
Menambah coverage area disposal rawa seluas 72 Ha
Menghilangkan potensi loss revenue sebesar 28.11 Juta USD
","-Frantan Butar Butar
-Resi Yogie Baskoro
-Andira Chiesa Prawidya
-Luhur Devan Syah
-Ajiprabhawa Sukmajaya
-Dzikra Zhafira
-Agathon Azis Parenza
"
UT,"VR Preventive Maintenance
","Mensimulasikan proses preventive maintenance pada alat berat secara interaktif dan realistis
","Media ini membantu meningkatkan keterampilan teknis dan kesiapan kerja dengan cara yang menarik, aman, dan efisien.
","-TCDE
"
UT,"3D Printing
","Komponen alat berat yang dibuat dala versi kecil sehingga mudah untuk dibawa kedalam kelas
","Melalui model visual interaktif atau fisik, peserta didik dapat mempelajari fungsi, prinsip kerja, serta hubungan antar komponen dalam proses pencetakan tiga dimensi
","-TCDE
"
UT,"Augmented Reality
","Teknologi untuk scan 3D printing sehingga menghasilkan informasi yang detail dan mudah dipahami siswa
","Memudahkan siswa untuk mempelajari alat berat dengan pendekatan yang realistis
",-TCDE
UTPE,"Hydrogen Hybrid Tower Lamp
","Tower Lamp yang ditenagai oleh Solar Panel dan Hydrogen secara bergantian yang dikontrol oleh Smart Hybrid Energy Management dengan waktu delay yang sangat minim (hampir tidak ada kedip) antara Solar PV & Fuel Cell Hydrogen
","Zero Emission (ESG Compliant), exhaust only vapour water
100% renewable & abundant Energy
Silent Operation
","Energy & Processing Engineer, Electrical Engineer, Industrial Design Engineer, Structure & Material Engineer, Fluid Power Technology Engineer, Prototype & Testing Engineer
"
UTPE,"Next Gen Tug Boat (Orca)
","Kapal penarik (tugboat) dengan desain futuristic yang dipasangkan dengan tongkang (barge) untuk mendukung aktivitas pengangkutan di perairan dangkal dan dalam dengan kapasitas daya 2x1100 HP.
","Heavy-duty hull design ensuring high bollard pull and reduced water resistance
Suitable for towing across varied waterways
Integrated solar panels and Battery Energy Storage System (BESS) for sustainable operations (ESG Compliant)
","Naval Architec Engineer,
Propultion System Engineer, 
Marine Engineer, Industrial Design Engineer, Electrical Engineer, Structure & Material Engineer, Marine Piping & Hydraulic Engineer, Process Engineer, Application Engineer, 
"
UTPE,"Intellegent Monitoring System 
","Sistem yang berkontribusi pada efisiensi operasi perusahaan dengan memantau berbagai aspek seperti Aset Management (mesin produksi) dan Energy Management (listrik, bahan bakar, gas, dan air) dengan menggabungkan teknologi canggih seperti Machine Learning untuk keperluan prediction & monitoring.
","Reduces unplanned downtime
Lowers unnecessary preventive maintenance costs
Provides real-time visibility into machine conditions
Extends the lifespan of machine assets
","Electrical & Automation Engineer, Electrical Engineer, Material Preparation Engineer,
Industrial Engineer

"
UTPE,"X-Pro OB Vessel (HD 785)
","Produk bak angkut untuk mengangkut material Overburden (OB)  pada sektor mining dengan kapasitas mencapai 70 Cu.M yang dipasangkan pada Komatsu HD785-7
","17% higher productivity than standard vessels
16% lighter than than conventional body designs
Rounded body minimizes material carryback
","Vessel Engineer, Fabrication Engineer Structure & Material Engineer, Application Engineer, Testing Engineer
"
UTPE,"Anti Sticky Vessel (DV27 + HM400)
","Produk bak angkut anti lengket untuk mengangkut material Nickel  & Overburden (OB)  pada sektor mining dengan kapasitas mencapai 30 Cu.M yang dipasangkan pada Articulated Truck Komatsu HM400
","Specially designed for sticky materials (e.g., nickel) to improve productivity
Reduces carry-back by over 50% compared to standard vessels
Optimized load distribution for maximum safety and stability
","Vessel Engineer, Fabrication Engineer Structure & Material Engineer, Application Engineer, Testing Engineer
"
UTPE,"Double Trailer SST (Scania + Dolly)
","Produk trailer gandeng (double) untuk mengangkut Batubara pada sektor mining dengan metode tipping (buang muatan) ke samping (side door). Kapasitas angkut mencapai 110 + 125 Cu.M yang dipasangkan pada Medium Trucks (Prime Mover) Scania
","High productivity – up to 211.5 tons
Reduced carry-back with optimized trailer body contour during tipping
Flexible tipping conditions using rubber for enhanced adaptability
","Trailer Engineer, Fabrication Engineer Structure & Material Engineer, Application Engineer, Testing Engineer
"
KRA,"Main pump Leak Tester
","Leak tester tool yang dapat digunakan untuk menentukan Main Pump mana yang mengalami kebocoran dari oil seal di unit tanpa harus dismounting Main Pump 2, Main Pump 2 ataupun Swing Pump
","Mengurangi potensi mis-troubleshooting & increase customer satisfaction
","-Yordan, Feliks Adiretus T
"
KRA,"Additional air strainer on Engine HD785-7
","Penambahan konfigurasi berupa Air Strainer di air system Engine HD785-7 untuk mencegah foreign material masuk ke ruang bakar dan mengakibatkan kerusakan (countermeasure atas beberapa failure product yang diakibatkan oleh foreign material)
","Reducing product failure & increase customer satisfaction
","-Dwi Yuliyanto, Sumianto
"
KRA,"Retube Front Suspension
","Aktivitas kolaborasi dengan Komatsu Indonesia guna meminimalisir potensi pengantian baru pada retube yang mengalami scratch dengan memanfaatkan metode salvage.
","Menghasilkan pengurangan biaya tambahan dan peningkatan nilai tambah bagi kepuasan customer
","-G. Yudha Fitria
"
KRA,"Surface Method on Top Surface Cylinder Block
","Melakukan pengembangan metode salvage dengan pemanfaatan teknologi metal spray pada komponen cylinder block yang mengalami kausan pada permukaannya. Project ini Adalah pengembangan dari project terdahulu yakni dengan meminimalisir cost penggantian new part pada permukaan hasil surface yang tingginya underlimit.
","Menghasilkan pengurangan biaya tambahan dan peningkatan nilai tambah bagi kepuasan customer
","-Reskia Budi
-Hari NC.
-Meilati PM
"
KRA,"Axle Housing
","Melakukan pendekatan teknologi pengelasan pada part yang mengalami crack pada bagian drain plug sehingga dapat digunakan kembali
","Menghasilkan pengurangan biaya tambahan dan mensupport LCC competitiveness bagi customer
","-Ahmad Ridho A.
-Reskia Budi
"
AA,"Autowrite (Automation Risk Assessment in Underwriting Process)
","Autowrite adalah sistem berbasis web yang dikembangkan oleh expert Asuransi Astra (Underwriter) yang secara otomatis menghitung indicative insurance premium (perkiraan premi asuransi).

Autowrite meningkatkan produktivitas expert dengan kemampuannya melakukan analisis risiko pada kategori simple risk, sehingga expert dapat lebih fokus untuk melakukan analisis risiko yang lebih kompleks.

Dengan kemampuan perhitungan otomatis dan real-time, tim marketing dapat langsung melakukan simulasi premi kepada pelanggan, tanpa harus menunggu perhitungan awal dari expert. Hal ini membuat proses penawaran menjadi jauh lebih cepat sesuai harapan pelanggan.

Dengan Autowrite, proses akseptasi risiko menjadi lebih cepat, akurat, dan efisien — baik bagi expert, marketing, dan pelanggan.

","Menghemat 50% waktu perhitungan indicative insurance premium untuk kategori simple risk

Meningkatkan jumlah penutupan asuransi untuk kategori simple risk hingga 20%
","-Viranty Pradani
-Agatha Michelle Lionard
"
AA,"Tools Perhitungan Kecukupan Alat Proteksi Kebakaran
","Tools ini berfungsi untuk menghitung secara otomatis kebutuhan sistem proteksi kebakaran pada suatu objek pertanggungan, sehingga menghilangkan proses perhitungan manual yang memerlukan waktu dan berpotensi menimbulkan kesalahan.
Tools ini dikembangkan dengan mengacu pada standar sistem proteksi kebakaran yang ditetapkan oleh National Fire Protection Association (NFPA), sehingga output perhitungannya memiliki tingkat validitas dan reliabilitas yang tinggi dalam menilai kecukupan sistem proteksi kebakaran yang diperlukan.
Dengan demikian, tools ini mendukung proses analisis risiko yang lebih cepat dan akurat.
","Menghemat 96% waktu perhitungan kecukupan sistem proteksi kebakaran,
Meminimalisir potensi human error saat melakukan perhitungan
","-Bayukarsa Ramadhan Arif T
-Dimas Briandy
"
